LocationNO,Country,State_Abbv,State,County,City,ZipCode
47777,United States,IN,Indiana,Madison,ANDERSON,46012
47802,United States,IN,Indiana,Madison,ANDERSON,46013
47827,United States,IN,Indiana,Madison,ANDERSON,46016
47852,United States,IN,Indiana,Steuben,ANGOLA,46703
47877,United States,IN,Indiana,DeKalb,AUBURN,46706
47902,United States,IN,Indiana,Hendricks,AVON,46123
47927,United States,IN,Indiana,Ripley,BATESVILLE,47006
47952,United States,IN,Indiana,Marion,BEECH GROVE,46107
47977,United States,IN,Indiana,Adams,BERNE,46711
48002,United States,IN,Indiana,Knox,BICKNELL,47512
48027,United States,IN,Indiana,Monroe,BLOOMINGTON,47401
48052,United States,IN,Indiana,Monroe,BLOOMINGTON,47403
48077,United States,IN,Indiana,Marion,CAMBY,46113
48102,United States,IN,Indiana,Hamilton,CARMEL,46032
48127,United States,IN,Indiana,Madison,CHESTERFIELD,46017
48152,United States,IN,Indiana,Porter,CHESTERTON,46304
48177,United States,IN,Indiana,Clark,CLARKSVILLE,47129
48202,United States,IN,Indiana,Bartholomew,COLUMBUS,47201
48227,United States,IN,Indiana,Bartholomew,COLUMBUS,47203
48252,United States,IN,Indiana,Fayette,CONNERSVILLE,47331
48277,United States,IN,Indiana,Harrison,CORYDON,47112
48302,United States,IN,Indiana,Montgomery,CRAWFORDSVILLE,47933
48327,United States,IN,Indiana,Lake,CROWN POINT,46307
48352,United States,IN,Indiana,Jasper,DEMOTTE,46310
48377,United States,IN,Indiana,Lake,DYER,46311
48402,United States,IN,Indiana,Lake,EAST CHICAGO,46312
48427,United States,IN,Indiana,Vanderburgh,EVANSVILLE,47710
48452,United States,IN,Indiana,Vanderburgh,EVANSVILLE,47711
48477,United States,IN,Indiana,Vanderburgh,EVANSVILLE,47714
48502,United States,IN,Indiana,Vanderburgh,EVANSVILLE,47715
48527,United States,IN,Indiana,Vanderburgh,EVANSVILLE,47725
48552,United States,IN,Indiana,Vanderburgh,EVANSVILLE,47734
48577,United States,IN,Indiana,,FISHERS,46037
48602,United States,IN,Indiana,Allen,FORT WAYNE,46802
48627,United States,IN,Indiana,Allen,FORT WAYNE,46804
48652,United States,IN,Indiana,Allen,FORT WAYNE,46805
48677,United States,IN,Indiana,Allen,FORT WAYNE,46806
48702,United States,IN,Indiana,Allen,FORT WAYNE,46808
48727,United States,IN,Indiana,Allen,FORT WAYNE,46814
48752,United States,IN,Indiana,Allen,FORT WAYNE,46825
48777,United States,IN,Indiana,Johnson,FRANKLIN,46131
48802,United States,IN,Indiana,Lake,GARY,46404
48827,United States,IN,Indiana,Lake,GARY,46406
48852,United States,IN,Indiana,Lake,GARY,46408
48877,United States,IN,Indiana,Elkhart,GOSHEN,46526
48902,United States,IN,Indiana,St. Joseph,GRANGER,46530
48927,United States,IN,Indiana,Hancock,GREENFIELD,46140
48952,United States,IN,Indiana,Decatur,GREENSBURG,47240
48977,United States,IN,Indiana,Johnson,GREENWOOD,46143
49002,United States,IN,Indiana,Lake,GRIFFITH,46319
49027,United States,IN,Indiana,Lake,HAMMOND,46320
49052,United States,IN,Indiana,Lake,HAMMOND,46323
49077,United States,IN,Indiana,Lake,HAMMOND,46324
49102,United States,IN,Indiana,Blackford,HARTFORD CITY,47348
49127,United States,IN,Indiana,Lake,HIGHLAND,46322
49152,United States,IN,Indiana,Lake,HOBART,46342
49177,United States,IN,Indiana,Dubois,HUNTINGBURG,47542
49202,United States,IN,Indiana,Marion,INDIANAPOLIS,46203
49227,United States,IN,Indiana,Marion,INDIANAPOLIS,46204
49252,United States,IN,Indiana,Marion,INDIANAPOLIS,46205
49277,United States,IN,Indiana,Marion,INDIANAPOLIS,46214
49302,United States,IN,Indiana,Marion,INDIANAPOLIS,46219
49327,United States,IN,Indiana,Marion,INDIANAPOLIS,46220
49352,United States,IN,Indiana,Marion,INDIANAPOLIS,46227
49377,United States,IN,Indiana,Marion,INDIANAPOLIS,46237
49402,United States,IN,Indiana,Marion,INDIANAPOLIS,46239
49427,United States,IN,Indiana,Marion,INDIANAPOLIS,46240
49452,United States,IN,Indiana,Marion,INDIANAPOLIS,46241
49477,United States,IN,Indiana,Marion,INDIANAPOLIS,46250
49502,United States,IN,Indiana,Marion,INDIANAPOLIS,46254
49527,United States,IN,Indiana,Marion,INDIANAPOLIS,46256
49552,United States,IN,Indiana,Marion,INDIANAPOLIS,46260
49577,United States,IN,Indiana,Marion,INDIANAPOLIS,46268
49602,United States,IN,Indiana,Hamilton,INDIANAPOLIS,46280
49627,United States,IN,Indiana,Dubois,JASPER,47546
49652,United States,IN,Indiana,Clark,JEFFERSONVILLE,47130
49677,United States,IN,Indiana,Howard,KOKOMO,46902
49702,United States,IN,Indiana,LaPorte,LA PORTE,46350
49727,United States,IN,Indiana,Tippecanoe,LAFAYETTE,47901
49752,United States,IN,Indiana,Tippecanoe,LAFAYETTE,47904
49777,United States,IN,Indiana,Tippecanoe,LAFAYETTE,47905
49802,United States,IN,Indiana,Dearborn,LAWRENCEBURG,47025
49827,United States,IN,Indiana,Boone,LEBANON,46052
49852,United States,IN,Indiana,Greene,LINTON,47441
49877,United States,IN,Indiana,Cass,LOGANSPORT,46947
49902,United States,IN,Indiana,Jefferson,MADISON,47250
49927,United States,IN,Indiana,Grant,MARION,46952
49952,United States,IN,Indiana,Grant,MARION,46953
49977,United States,IN,Indiana,Morgan,MARTINSVILLE,46151
50002,United States,IN,Indiana,Lake,MERRILLVILLE,46410
50027,United States,IN,Indiana,LaPorte,MICHIGAN CITY,46360
50052,United States,IN,Indiana,St. Joseph,MISHAWAKA,46545
50077,United States,IN,Indiana,Lawrence,MITCHELL,47446
50102,United States,IN,Indiana,Morgan,MOORESVILLE,46158
50127,United States,IN,Indiana,Delaware,MUNCIE,47304
50152,United States,IN,Indiana,Delaware,MUNCIE,47305
50177,United States,IN,Indiana,Lake,MUNSTER,46321
50202,United States,IN,Indiana,Floyd,NEW ALBANY,47150
50227,United States,IN,Indiana,Henry,NEW CASTLE,47362
50252,United States,IN,Indiana,Allen,NEW HAVEN,46774
50277,United States,IN,Indiana,Johnson,NINEVEH,46164
50302,United States,IN,Indiana,Hamilton,NOBLESVILLE,46060
50327,United States,IN,Indiana,Hamilton,NOBLESVILLE,46062
50352,United States,IN,Indiana,Porter,PORTAGE,46368
50377,United States,IN,Indiana,Gibson,PRINCETON,47670
50402,United States,IN,Indiana,Jasper,RENSSELAER,47978
50427,United States,IN,Indiana,Wayne,RICHMOND,47374
50452,United States,IN,Indiana,Fulton,ROCHESTER,46975
50477,United States,IN,Indiana,Lake,SAINT JOHN,46373
50502,United States,IN,Indiana,Lake,SCHERERVILLE,46375
50527,United States,IN,Indiana,Scott,SCOTTSBURG,47170
50552,United States,IN,Indiana,Clark,SELLERSBURG,47172
50577,United States,IN,Indiana,Jackson,SEYMOUR,47274
50602,United States,IN,Indiana,Shelby,SHELBYVILLE,46176
50627,United States,IN,Indiana,St. Joseph,SOUTH BEND,46635
50652,United States,IN,Indiana,St. Joseph,SOUTH BEND,46637
50677,United States,IN,Indiana,Sullivan,SULLIVAN,47882
50702,United States,IN,Indiana,Perry,TELL CITY,47586
50727,United States,IN,Indiana,Vigo,TERRE HAUTE,47804
50752,United States,IN,Indiana,Vigo,TERRE HAUTE,47807
50777,United States,IN,Indiana,Porter,VALPARAISO,46383
50802,United States,IN,Indiana,Knox,VINCENNES,47591
50827,United States,IN,Indiana,Dearborn,W HARRISON,47060
50852,United States,IN,Indiana,Wabash,WABASH,46992
50877,United States,IN,Indiana,Kosciusko,WARSAW,46580
50902,United States,IN,Indiana,Hamilton,WESTFIELD,46074
50927,United States,IN,Indiana,Pulaski,WINAMAC,46996
50952,United States,IN,Indiana,Randolph,WINCHESTER,47394
53102,United States,KY,Kentucky,Boyd,ASHLAND,41101
53127,United States,KY,Kentucky,Knox,BARBOURVILLE,40906
53152,United States,KY,Kentucky,Marshall,BENTON,42025
53177,United States,KY,Kentucky,Warren,BOWLING GREEN,42101
53202,United States,KY,Kentucky,Warren,BOWLING GREEN,42104
53227,United States,KY,Kentucky,Trigg,CADIZ,42211
53252,United States,KY,Kentucky,Adair,COLUMBIA,42728
53277,United States,KY,Kentucky,Kenton,CRESTVIEW HILLS,41017
53302,United States,KY,Kentucky,Harrison,CYNTHIANA,41031
53327,United States,KY,Kentucky,Boyle,DANVILLE,40422
53352,United States,KY,Kentucky,Kenton,EDGEWOOD,41017
53377,United States,KY,Kentucky,Hardin,ELIZABETHTOWN,42701
53402,United States,KY,Kentucky,Kenton,ERLANGER,41018
53427,United States,KY,Kentucky,Boone,FLORENCE,41042
53452,United States,KY,Kentucky,Kenton,FORT MITCHELL,41017
53477,United States,KY,Kentucky,Campbell,FORT THOMAS,41075
53502,United States,KY,Kentucky,Kenton,FORT WRIGHT,41011
53527,United States,KY,Kentucky,Franklin,FRANKFORT,40601
53552,United States,KY,Kentucky,Fulton,FULTON,42041
53577,United States,KY,Kentucky,Barren,GLASGOW,42141
53602,United States,KY,Kentucky,Greenup,GREENUP,41144
53627,United States,KY,Kentucky,Muhlenberg,GREENVILLE,42345
53652,United States,KY,Kentucky,Breckinridge,HARDINSBURG,40143
53677,United States,KY,Kentucky,Harlan,HARLAN,40831
53702,United States,KY,Kentucky,Ohio,HARTFORD,42347
53727,United States,KY,Kentucky,Perry,HAZARD,41701
53752,United States,KY,Kentucky,Henderson,HENDERSON,42420
53777,United States,KY,Kentucky,Christian,HOPKINSVILLE,42240
53802,United States,KY,Kentucky,Leslie,HYDEN,41749
53827,United States,KY,Kentucky,Breathitt,JACKSON,41339
53852,United States,KY,Kentucky,Kenton,LAKESIDE PARK,41017
53877,United States,KY,Kentucky,Grayson,LEITCHFIELD,42754
53902,United States,KY,Kentucky,Fayette,LEXINGTON,40503
53927,United States,KY,Kentucky,Fayette,LEXINGTON,40504
53952,United States,KY,Kentucky,Fayette,LEXINGTON,40505
53977,United States,KY,Kentucky,Fayette,LEXINGTON,40509
54002,United States,KY,Kentucky,Fayette,LEXINGTON,40511
54027,United States,KY,Kentucky,Laurel,LONDON,40741
54052,United States,KY,Kentucky,Laurel,LONDON,40744
54077,United States,KY,Kentucky,Lawrence,LOUISA,41230
54102,United States,KY,Kentucky,Jefferson,LOUISVILLE,40202
54127,United States,KY,Kentucky,Jefferson,LOUISVILLE,40205
54152,United States,KY,Kentucky,Jefferson,LOUISVILLE,40207
54177,United States,KY,Kentucky,Jefferson,LOUISVILLE,40213
54202,United States,KY,Kentucky,Jefferson,LOUISVILLE,40218
54227,United States,KY,Kentucky,Jefferson,LOUISVILLE,40222
54252,United States,KY,Kentucky,Jefferson,LOUISVILLE,40223
54277,United States,KY,Kentucky,Jefferson,LOUISVILLE,40272
54302,United States,KY,Kentucky,Jefferson,LOUISVILLE,40299
54327,United States,KY,Kentucky,Hopkins,MADISONVILLE,42431
54352,United States,KY,Kentucky,Clay,MANCHESTER,40962
54377,United States,KY,Kentucky,Crittenden,MARION,42064
54402,United States,KY,Kentucky,Graves,MAYFIELD,42066
54427,United States,KY,Kentucky,Mason,MAYSVILLE,41056
54452,United States,KY,Kentucky,Floyd,MC DOWELL,41647
54477,United States,KY,Kentucky,Bell,MIDDLESBORO,40965
54502,United States,KY,Kentucky,Rowan,MOREHEAD,40351
54527,United States,KY,Kentucky,Montgomery,MOUNT STERLING,40353
54552,United States,KY,Kentucky,Rockcastle,MOUNT VERNON,40456
54577,United States,KY,Kentucky,Calloway,MURRAY,42071
54602,United States,KY,Kentucky,Jessamine,NICHOLASVILLE,40356
54627,United States,KY,Kentucky,Daviess,OWENSBORO,42301
54652,United States,KY,Kentucky,Daviess,OWENSBORO,42302
54677,United States,KY,Kentucky,Daviess,OWENSBORO,42303
54702,United States,KY,Kentucky,Owen,OWENTON,40359
54727,United States,KY,Kentucky,McCracken,PADUCAH,42001
54752,United States,KY,Kentucky,Johnson,PAINTSVILLE,41240
54777,United States,KY,Kentucky,Pike,PIKEVILLE,41501
54802,United States,KY,Kentucky,Bell,PINEVILLE,40977
54827,United States,KY,Kentucky,Floyd,PRESTONSBURG,41653
54852,United States,KY,Kentucky,Caldwell,PRINCETON,42445
54877,United States,KY,Kentucky,Madison,RICHMOND,40475
54902,United States,KY,Kentucky,Logan,RUSSELLVILLE,42276
54927,United States,KY,Kentucky,Pulaski,SOMERSET,42503
54952,United States,KY,Kentucky,Pike,SOUTH WILLIAMSON,41503
54977,United States,KY,Kentucky,Monroe,TOMPKINSVILLE,42167
55002,United States,KY,Kentucky,Lewis,VANCEBURG,41179
55027,United States,KY,Kentucky,Morgan,WEST LIBERTY,41472
55052,United States,KY,Kentucky,Letcher,WHITESBURG,41858
55077,United States,KY,Kentucky,Whitley,WILLIAMSBURG,40769
55102,United States,KY,Kentucky,Clark,WINCHESTER,40391
62227,United States,ME,Maine,Penobscot,BANGOR,4401
62252,United States,ME,Maine,Penobscot,BANGOR,4402
62277,United States,ME,Maine,Cumberland,BRUNSWICK,4011
62302,United States,ME,Maine,Washington,CALAIS,4619
62327,United States,ME,Maine,Aroostook,CARIBOU,4736
62352,United States,ME,Maine,Lincoln,DAMARISCOTTA,4543
62377,United States,ME,Maine,Aroostook,HOULTON,4730
62427,United States,ME,Maine,Androscoggin,LEWISTON,4240
62452,United States,ME,Maine,Washington,LUBEC,4652
62477,United States,ME,Maine,Cumberland,PORTLAND,4102
62502,United States,ME,Maine,Cumberland,PORTLAND,4103
62527,United States,ME,Maine,York,SACO,4072
62552,United States,ME,Maine,Somerset,SMITHFIELD,4978
62577,United States,ME,Maine,Cumberland,SO PORTLAND,4106
62602,United States,ME,Maine,Cumberland,SOUTH PORTLAND,4106
62627,United States,ME,Maine,Kennebec,WATERVILLE,4901
62677,United States,MI,Michigan,Lenawee,ADRIAN,49221
62702,United States,MI,Michigan,Allegan,ALLEGAN,49010
62727,United States,MI,Michigan,Wayne,ALLEN PARK,48101
62752,United States,MI,Michigan,Alpena,ALPENA,49707
62777,United States,MI,Michigan,Washtenaw,ANN ARBOR,48103
62802,United States,MI,Michigan,Washtenaw,ANN ARBOR,48104
62827,United States,MI,Michigan,Washtenaw,ANN ARBOR,48108
62852,United States,MI,Michigan,Oakland,AUBURN HILLS,48326
62877,United States,MI,Michigan,,BATTLE CREEK,49037
62902,United States,MI,Michigan,Bay,BAY CITY,48706
62927,United States,MI,Michigan,Bay,BAY CITY,48708
62952,United States,MI,Michigan,Berrien,BENTON HARBOR,49022
62977,United States,MI,Michigan,Oakland,BERKLEY,48072
63002,United States,MI,Michigan,Mecosta,BIG RAPIDS,49307
63027,United States,MI,Michigan,Oakland,BINGHAM FARMS,48025
63052,United States,MI,Michigan,Oakland,BLOOMFIELD HILLS,48301
63077,United States,MI,Michigan,Oakland,BLOOMFIELD HILLS,48302
63102,United States,MI,Michigan,Berrien,BRIDGMAN,49106
63127,United States,MI,Michigan,Livingston,BRIGHTON,48114
63152,United States,MI,Michigan,Livingston,BRIGHTON,48116
63177,United States,MI,Michigan,Wayne,BROWNSTOWN,48174
63202,United States,MI,Michigan,Wayne,BROWNSTOWN,48183
63227,United States,MI,Michigan,Genesee,BURTON,48509
63252,United States,MI,Michigan,Wexford,CADILLAC,49601
63277,United States,MI,Michigan,Houghton,CALUMET,49913
63302,United States,MI,Michigan,Mecosta,CANADIAN LAKES,49346
63327,United States,MI,Michigan,Wayne,CANTON,48187
63352,United States,MI,Michigan,Tuscola,CARO,48723
63377,United States,MI,Michigan,Montcalm,CARSON CITY,48811
63402,United States,MI,Michigan,Charlevoix,CHARLEVOIX,49720
63427,United States,MI,Michigan,Eaton,CHARLOTTE,48813
63452,United States,MI,Michigan,Cheboygan,CHEBOYGAN,49721
63477,United States,MI,Michigan,Washtenaw,CHELSEA,48118
63502,United States,MI,Michigan,Oakland,CLARKSTON,48346
63527,United States,MI,Michigan,Oakland,CLARKSTON,48348
63552,United States,MI,Michigan,Oakland,CLAWSON,48017
63577,United States,MI,Michigan,Macomb,CLINTON TOWNSHIP,48035
63602,United States,MI,Michigan,Macomb,CLINTON TOWNSHIP,48036
63627,United States,MI,Michigan,Macomb,CLINTON TOWNSHIP,48038
63652,United States,MI,Michigan,Branch,COLDWATER,49036
63677,United States,MI,Michigan,Oakland,COMMERCE TOWNSHIP,48382
63702,United States,MI,Michigan,Genesee,DAVISON,48423
63727,United States,MI,Michigan,Wayne,DEARBORN,48124
63752,United States,MI,Michigan,Wayne,DEARBORN,48126
63777,United States,MI,Michigan,Wayne,DEARBORN,48128
63802,United States,MI,Michigan,Wayne,DEARBORN HEIGHTS,48125
63827,United States,MI,Michigan,Wayne,DEARBORN HEIGHTS,48127
63852,United States,MI,Michigan,Wayne,DETROIT,48201
63877,United States,MI,Michigan,Wayne,DETROIT,48202
63902,United States,MI,Michigan,Wayne,DETROIT,48208
63927,United States,MI,Michigan,Wayne,DETROIT,48209
63952,United States,MI,Michigan,Wayne,DETROIT,48212
63977,United States,MI,Michigan,Wayne,DETROIT,48214
64002,United States,MI,Michigan,Wayne,DETROIT,48219
64027,United States,MI,Michigan,Wayne,DETROIT,48224
64052,United States,MI,Michigan,Wayne,DETROIT,48226
64077,United States,MI,Michigan,Wayne,DETROIT,48227
64102,United States,MI,Michigan,Wayne,DETROIT,48235
64127,United States,MI,Michigan,Shiawassee,DURAND,48429
64152,United States,MI,Michigan,Kent,EAST GRAND RAPIDS,49546
64177,United States,MI,Michigan,Ingham,EAST LANSING,48823
64202,United States,MI,Michigan,Macomb,EASTPOINTE,48021
64227,United States,MI,Michigan,Cass,EDWARDSBURG,49112
64252,United States,MI,Michigan,Huron,ELKTON,48731
64277,United States,MI,Michigan,Delta,ESCANABA,49829
64302,United States,MI,Michigan,Oakland,FARMINGTON,48334
64327,United States,MI,Michigan,Oakland,FARMINGTON,48335
64352,United States,MI,Michigan,Oakland,FARMINGTON,48336
64377,United States,MI,Michigan,Oakland,FARMINGTON HILLS,48331
64402,United States,MI,Michigan,Oakland,FARMINGTON HILLS,48334
64427,United States,MI,Michigan,Oakland,FARMINGTON HILLS,48335
64452,United States,MI,Michigan,Oakland,FARMINGTON HILLS,48336
64477,United States,MI,Michigan,Oakland,FERNDALE,48220
64502,United States,MI,Michigan,Genesee,FLINT,48507
64527,United States,MI,Michigan,Genesee,FLINT,48532
64552,United States,MI,Michigan,Genesee,FLUSHING,48433
64577,United States,MI,Michigan,Saginaw,FRANKENMUTH,48734
64602,United States,MI,Michigan,Oakland,FRANKLIN,48025
64627,United States,MI,Michigan,Macomb,FRASER,48026
64652,United States,MI,Michigan,Newaygo,FREMONT,49412
64677,United States,MI,Michigan,Wayne,GARDEN CITY,48135
64702,United States,MI,Michigan,Genesee,GRAND BLANC,48439
64727,United States,MI,Michigan,Ottawa,GRAND HAVEN,49417
64752,United States,MI,Michigan,Kent,GRAND RAPIDS,49503
64777,United States,MI,Michigan,Kent,GRAND RAPIDS,49505
64802,United States,MI,Michigan,Kent,GRAND RAPIDS,49506
64827,United States,MI,Michigan,Kent,GRAND RAPIDS,49512
64852,United States,MI,Michigan,Kent,GRAND RAPIDS,49525
64877,United States,MI,Michigan,Kent,GRAND RAPIDS,49546
64902,United States,MI,Michigan,Kent,GRANDVILLE,49418
64927,United States,MI,Michigan,Crawford,GRAYLING,49738
