LocationNO,Country,State_Abbv,State,County,City,ZipCode
24502,United States,DE,Delaware,Kent,CAMDEN,19934
24527,United States,DE,Delaware,Kent,DOVER,19901
24552,United States,DE,Delaware,Kent,DOVER,19904
24577,United States,DE,Delaware,Sussex,GEORGETOWN,19947
24602,United States,DE,Delaware,Sussex,LEWES,19958
24627,United States,DE,Delaware,Sussex,MILFORD,19963
24652,United States,DE,Delaware,Sussex,MILLSBORO,19966
24677,United States,DE,Delaware,New Castle,NEW CASTLE,19720
24702,United States,DE,Delaware,New Castle,NEWARK,19702
24727,United States,DE,Delaware,New Castle,NEWARK,19711
24752,United States,DE,Delaware,Sussex,SEAFORD,19973
24777,United States,DE,Delaware,Kent,SMYRNA,19977
24802,United States,DE,Delaware,New Castle,WILMINGTON,19801
24827,United States,DE,Delaware,New Castle,WILMINGTON,19803
24852,United States,DE,Delaware,New Castle,WILMINGTON,19806
57677,United States,MA,Massachusetts,Middlesex,ACTON,1720
57702,United States,MA,Massachusetts,Hampden,AGAWAM,1001
57752,United States,MA,Massachusetts,Essex,AMESBURY,1913
57777,United States,MA,Massachusetts,Essex,ANDOVER,1810
57852,United States,MA,Massachusetts,Worcester,AUBURN,1501
57927,United States,MA,Massachusetts,Essex,BEVERLY,1915
57952,United States,MA,Massachusetts,Essex,BEVERLY,1960
58202,United States,MA,Massachusetts,Worcester,CHARLTON,1507
58227,United States,MA,Massachusetts,Middlesex,CHELMSFORD,1824
58277,United States,MA,Massachusetts,Worcester,CHERRY VALLEY,1611
58302,United States,MA,Massachusetts,Hampden,CHICOPEE,1013
58327,United States,MA,Massachusetts,Hampden,CHICOPEE,1020
58352,United States,MA,Massachusetts,Worcester,CLINTON,1510
58377,United States,MA,Massachusetts,Middlesex,CONCORD,1742
58402,United States,MA,Massachusetts,Essex,DANVERS,1923
58502,United States,MA,Massachusetts,Middlesex,DRACUT,1826
58552,United States,MA,Massachusetts,Hampden,EAST LONGMEADOW,1028
58677,United States,MA,Massachusetts,Worcester,FITCHBURG,1420
58727,United States,MA,Massachusetts,Middlesex,FRAMINGHAM,1702
58752,United States,MA,Massachusetts,Worcester,GARDNER,1440
58777,United States,MA,Massachusetts,Essex,HAVERHILL,1830
58802,United States,MA,Massachusetts,Essex,HAVERHILL,1832
58827,United States,MA,Massachusetts,Essex,HAVERHILL,1835
58852,United States,MA,Massachusetts,Hampden,HOLYOKE,1040
58952,United States,MA,Massachusetts,Essex,LAWRENCE,1840
58977,United States,MA,Massachusetts,Essex,LAWRENCE,1843
59002,United States,MA,Massachusetts,Berkshire,LEE,1238
59027,United States,MA,Massachusetts,Worcester,LEOMINSTER,1453
59077,United States,MA,Massachusetts,Hampden,LONGMEADOW,1106
59102,United States,MA,Massachusetts,Middlesex,LOWELL,1852
59127,United States,MA,Massachusetts,Middlesex,LOWELL,1854
59152,United States,MA,Massachusetts,Hampden,LUDLOW,1056
59177,United States,MA,Massachusetts,Essex,LYNN,1901
59202,United States,MA,Massachusetts,Essex,LYNN,1902
59227,United States,MA,Massachusetts,Essex,LYNN,1904
59302,United States,MA,Massachusetts,Middlesex,MARLBOROUGH,1752
59352,United States,MA,Massachusetts,Essex,METHUEN,1844
59402,United States,MA,Massachusetts,Worcester,MILFORD,1757
59452,United States,MA,Massachusetts,Middlesex,N CHELMSFORD,1863
59477,United States,MA,Massachusetts,Middlesex,NATICK,1760
