LocationNO,Country,State_Abbv,State,County,City,ZipCode
1327,United States,AL,Alabama,Shelby,ALABASTER,35007
1352,United States,AL,Alabama,Covington,ANDALUSIA,36420
1377,United States,AL,Alabama,Calhoun,ANNISTON,36205
1402,United States,AL,Alabama,Calhoun,ANNISTON,36207
1427,United States,AL,Alabama,Clay,ASHLAND,36251
1452,United States,AL,Alabama,Limestone,ATHENS,35611
1477,United States,AL,Alabama,Escambia,ATMORE,36502
1502,United States,AL,Alabama,Lee,AUBURN,36830
1527,United States,AL,Alabama,Jefferson,BESSEMER,35020
1552,United States,AL,Alabama,Jefferson,BIRMINGHAM,35216
1577,United States,AL,Alabama,Jefferson,BIRMINGHAM,35226
1602,United States,AL,Alabama,Jefferson,BIRMINGHAM,35235
1627,United States,AL,Alabama,Shelby,BIRMINGHAM,35242
1652,United States,AL,Alabama,Jefferson,BIRMINGHAM,35244
1677,United States,AL,Alabama,Blount,BLOUNTSVILLE,35031
1702,United States,AL,Alabama,Escambia,BREWTON,36426
1727,United States,AL,Alabama,Wilcox,CAMDEN,36726
1752,United States,AL,Alabama,Pickens,CARROLLTON,35447
1777,United States,AL,Alabama,Cherokee,CENTRE,35960
1802,United States,AL,Alabama,Bibb,CENTREVILLE,35042
1827,United States,AL,Alabama,Washington,CHATOM,36518
1852,United States,AL,Alabama,Mobile,CITRONELLE,36522
1877,United States,AL,Alabama,Chilton,CLANTON,35045
1902,United States,AL,Alabama,Barbour,CLAYTON,36016
1927,United States,AL,Alabama,Cullman,CULLMAN,35055
1952,United States,AL,Alabama,Cullman,CULLMAN,35058
1977,United States,AL,Alabama,Tallapoosa,DADEVILLE,36853
2002,United States,AL,Alabama,Baldwin,DAPHNE,36526
2027,United States,AL,Alabama,Morgan,DECATUR,35601
2052,United States,AL,Alabama,Morgan,DECATUR,35603
2077,United States,AL,Alabama,Marengo,DEMOPOLIS,36732
2102,United States,AL,Alabama,Houston,DOTHAN,36301
2127,United States,AL,Alabama,Houston,DOTHAN,36302
2152,United States,AL,Alabama,Houston,DOTHAN,36303
2177,United States,AL,Alabama,Houston,DOTHAN,36305
2202,United States,AL,Alabama,Winston,DOUBLE SPRINGS,35553
2227,United States,AL,Alabama,Coffee,ENTERPRISE,36330
2252,United States,AL,Alabama,Greene,EUTAW,35462
2277,United States,AL,Alabama,Conecuh,EVERGREEN,36401
2302,United States,AL,Alabama,Baldwin,FAIRHOPE,36532
2327,United States,AL,Alabama,Fayette,FAYETTE,35555
2352,United States,AL,Alabama,Lauderdale,FLORENCE,35630
2377,United States,AL,Alabama,Baldwin,FOLEY,36535
2402,United States,AL,Alabama,DeKalb,FORT PAYNE,35967
2427,United States,AL,Alabama,DeKalb,FORT PAYNE,35968
2452,United States,AL,Alabama,Jefferson,FULTONDALE,35068
2477,United States,AL,Alabama,Etowah,GADSDEN,35901
2502,United States,AL,Alabama,Etowah,GADSDEN,35903
2527,United States,AL,Alabama,Geneva,GENEVA,36340
2552,United States,AL,Alabama,Butler,GEORGIANA,36033
2577,United States,AL,Alabama,Choctaw,GILBERTOWN,36908
2602,United States,AL,Alabama,Hale,GREENSBORO,36744
2627,United States,AL,Alabama,Butler,GREENVILLE,36037
2652,United States,AL,Alabama,Marshall,GUNTERSVILLE,35976
2677,United States,AL,Alabama,Winston,HALEYVILLE,35565
2702,United States,AL,Alabama,Marion,HAMILTON,35570
2727,United States,AL,Alabama,Geneva,HARTFORD,36344
2752,United States,AL,Alabama,Jefferson,HOMEWOOD,35209
2777,United States,AL,Alabama,Madison,HUNTSVILLE,35801
2802,United States,AL,Alabama,Madison,HUNTSVILLE,35802
2827,United States,AL,Alabama,Madison,HUNTSVILLE,35816
2852,United States,AL,Alabama,Clarke,JACKSON,36545
2877,United States,AL,Alabama,Walker,JASPER,35501
2902,United States,AL,Alabama,Marengo,LINDEN,36748
2927,United States,AL,Alabama,Crenshaw,LUVERNE,36049
2952,United States,AL,Alabama,Madison,MADISON,35757
2977,United States,AL,Alabama,Mobile,MOBILE,36607
3002,United States,AL,Alabama,Mobile,MOBILE,36609
3027,United States,AL,Alabama,Monroe,MONROEVILLE,36460
3052,United States,AL,Alabama,Monroe,MONROEVILLE,36461
3077,United States,AL,Alabama,Montgomery,MONTGOMERY,36104
3102,United States,AL,Alabama,Montgomery,MONTGOMERY,36106
3127,United States,AL,Alabama,Montgomery,MONTGOMERY,36109
3152,United States,AL,Alabama,Lawrence,MOULTON,35650
3177,United States,AL,Alabama,Blount,ONEONTA,35121
3202,United States,AL,Alabama,Lee,OPELIKA,36801
3227,United States,AL,Alabama,Covington,OPP,36467
3252,United States,AL,Alabama,Dale,OZARK,36360
3277,United States,AL,Alabama,St. Clair,PELL CITY,35125
3302,United States,AL,Alabama,St. Clair,PELL CITY,35128
3327,United States,AL,Alabama,Russell,PHENIX CITY,36867
3352,United States,AL,Alabama,Montgomery,PIKE ROAD,36064
3377,United States,AL,Alabama,Autauga,PRATTVILLE,36066
3402,United States,AL,Alabama,Autauga,PRATTVILLE,36067
3427,United States,AL,Alabama,Etowah,RAINBOW CITY,35906
3452,United States,AL,Alabama,Franklin,RED BAY,35582
3477,United States,AL,Alabama,Pickens,REFORM,35481
3502,United States,AL,Alabama,Randolph,ROANOKE,36274
3527,United States,AL,Alabama,Franklin,RUSSELLVILLE,35653
3552,United States,AL,Alabama,Jackson,SCOTTSBORO,35768
3577,United States,AL,Alabama,Jackson,SCOTTSBORO,35769
3602,United States,AL,Alabama,Dallas,SELMA,36701
3627,United States,AL,Alabama,Colbert,SHEFFIELD,35660
3652,United States,AL,Alabama,Talladega,SYLACAUGA,35150
3677,United States,AL,Alabama,Talladega,TALLADEGA,35160
3702,United States,AL,Alabama,Elmore,TALLASSEE,36078
3727,United States,AL,Alabama,Pike,TROY,36081
3752,United States,AL,Alabama,Jefferson,TRUSSVILLE,35173
3777,United States,AL,Alabama,Tuscaloosa,TUSCALOOSA,35401
3802,United States,AL,Alabama,Tuscaloosa,TUSCALOOSA,35405
3827,United States,AL,Alabama,Tuscaloosa,TUSCALOOSA,35406
3852,United States,AL,Alabama,Bullock,UNION SPRINGS,36089
3877,United States,AL,Alabama,Chambers,VALLEY,36854
3902,United States,AL,Alabama,Tuscaloosa,VANCE,35490
3927,United States,AL,Alabama,Lamar,VERNON,35592
3952,United States,AL,Alabama,Jefferson,VESTAVIA HILLS,35216
3977,United States,AL,Alabama,Elmore,WETUMPKA,36092
4002,United States,AL,Alabama,Sumter,YORK,36925
24877,United States,FL,Florida,Seminole,ALTAMONTE,32701
24902,United States,FL,Florida,Seminole,ALTAMONTE SPRINGS,32701
24927,United States,FL,Florida,Seminole,ALTAMONTE SPRINGS,32714
24952,United States,FL,Florida,Lake,ALTOONA,32702
24977,United States,FL,Florida,Hillsborough,APOLLO BEACH,33572
25002,United States,FL,Florida,Orange,APOPKA,32703
25027,United States,FL,Florida,DeSoto,ARCADIA,34266
25052,United States,FL,Florida,Duval,ATLANTIC BEACH,32233
25077,United States,FL,Florida,Palm Beach,ATLANTIS,33462
25102,United States,FL,Florida,Miami-Dade,AVENTURA,33180
25127,United States,FL,Florida,Miami-Dade,BAL HARBOUR,33154
25152,United States,FL,Florida,Miami-Dade,BAY HARBOR ISLANDS,33154
25177,United States,FL,Florida,Marion,BELLEVIEW,34420
25202,United States,FL,Florida,Citrus,BEVERLY HILLS,34465
25227,United States,FL,Florida,Calhoun,BLOUNTSTOWN,32424
25252,United States,FL,Florida,Palm Beach,BOCA RATON,33428
25277,United States,FL,Florida,Palm Beach,BOCA RATON,33431
25302,United States,FL,Florida,Palm Beach,BOCA RATON,33432
25327,United States,FL,Florida,Palm Beach,BOCA RATON,33433
25352,United States,FL,Florida,Palm Beach,BOCA RATON,33486
