LocationNO,Country,State_Abbv,State,County,City,ZipCode
24127,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20001
24152,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20002
24177,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20003
24202,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20005
24227,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20007
24252,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20008
24277,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20010
24302,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20011
24327,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20012
24352,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20016
24377,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20017
24402,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20018
24427,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20019
24452,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20032
24477,United States,DC,District of Columbia,District of Columbia,WASHINGTON,20036
57727,United States,MA,Massachusetts,Suffolk,ALLSTON,2134
57802,United States,MA,Massachusetts,Middlesex,ARLINGTON,2474
57827,United States,MA,Massachusetts,Bristol,ATTLEBORO,2703
57877,United States,MA,Massachusetts,Middlesex,AUBURNDALE,2466
57902,United States,MA,Massachusetts,Norfolk,AVON,2322
57977,United States,MA,Massachusetts,Suffolk,BOSTON,2115
58002,United States,MA,Massachusetts,Suffolk,BOSTON,2118
58027,United States,MA,Massachusetts,Suffolk,BOSTON,2119
58052,United States,MA,Massachusetts,Suffolk,BOSTON,2122
58077,United States,MA,Massachusetts,Suffolk,BOSTON,2125
58102,United States,MA,Massachusetts,Suffolk,BOSTON,2135
58127,United States,MA,Massachusetts,Suffolk,BRIGHTON,2135
58152,United States,MA,Massachusetts,Plymouth,BROCKTON,2301
58177,United States,MA,Massachusetts,Suffolk,CHARLESTOWN,2129
58252,United States,MA,Massachusetts,Suffolk,CHELSEA,2150
58427,United States,MA,Massachusetts,Bristol,DARTMOUTH,2747
58452,United States,MA,Massachusetts,Norfolk,DEDHAM,2026
58477,United States,MA,Massachusetts,Suffolk,DORCHESTER,2124
58527,United States,MA,Massachusetts,Middlesex,E SOMERVILLE,2143
58577,United States,MA,Massachusetts,Middlesex,EVERETT,2149
58602,United States,MA,Massachusetts,Bristol,FAIRHAVEN,2719
58627,United States,MA,Massachusetts,Bristol,FALL RIVER,2723
58652,United States,MA,Massachusetts,Barnstable,FALMOUTH,2540
58702,United States,MA,Massachusetts,Norfolk,FOXBOROUGH,2035
58877,United States,MA,Massachusetts,Barnstable,HYANNIS,2601
58902,United States,MA,Massachusetts,Suffolk,HYDE PARK,2136
58927,United States,MA,Massachusetts,Suffolk,JAMAICA PLAIN,2130
59052,United States,MA,Massachusetts,Middlesex,LEXINGTON,2421
59252,United States,MA,Massachusetts,Middlesex,MALDEN,2148
