LocationNO,Country,State_Abbv,State,County,City,ZipCode
1002,United States,AK,Alaska,Anchorage Municipality,ANCHORAGE,99501
1027,United States,AK,Alaska,Anchorage Municipality,ANCHORAGE,99503
1052,United States,AK,Alaska,Anchorage Municipality,ANCHORAGE,99508
1077,United States,AK,Alaska,Anchorage Municipality,ANCHORAGE,99511
1102,United States,AK,Alaska,Anchorage Municipality,ANCHORAGE,99515
1127,United States,AK,Alaska,Fairbanks North Star,FAIRBANKS,99701
1152,United States,AK,Alaska,Kenai Peninsula,HOMER,99603
1177,United States,AK,Alaska,Juneau City and Boroug,JUNEAU,99801
1202,United States,AK,Alaska,Ketchikan Gateway,KETCHIKAN,99901
1227,United States,AK,Alaska,Wrangell-Petersburg (C,PETERSBURG,99833
1252,United States,AK,Alaska,Sitka City and Borough,SITKA,99835
1277,United States,AK,Alaska,Kenai Peninsula,SOLDOTNA,99669
1302,United States,AK,Alaska,Matanuska-Susitna,WASILLA,99654
8677,United States,CA,California,Los Angeles,ACTON,93510
8702,United States,CA,California,Alameda,ALAMEDA,94502
8727,United States,CA,California,Alameda,ALBANY,94706
8752,United States,CA,California,Los Angeles,ALHAMBRA,91801
8777,United States,CA,California,Los Angeles,ALHAMBRA,91803
8802,United States,CA,California,Los Angeles,ALTADENA,91001
8827,United States,CA,California,Napa,AMERICAN CANYON,94503
8852,United States,CA,California,Orange,ANAHEIM,92801
8877,United States,CA,California,Orange,ANAHEIM,92805
8902,United States,CA,California,San Bernardino,APPLE VALLEY,92307
8927,United States,CA,California,San Bernardino,APPLE VALLEY,92308
8952,United States,CA,California,Los Angeles,ARCADIA,91006
8977,United States,CA,California,Los Angeles,ARCADIA,91007
9002,United States,CA,California,Humboldt,ARCATA,95521
9027,United States,CA,California,Los Angeles,ARTESIA,90701
9052,United States,CA,California,Placer,AUBURN,95602
9077,United States,CA,California,Placer,AUBURN,95603
9102,United States,CA,California,Los Angeles,AZUSA,91702
9127,United States,CA,California,Kern,BAKERSFIELD,93301
9152,United States,CA,California,Kern,BAKERSFIELD,93304
9177,United States,CA,California,Kern,BAKERSFIELD,93308
9202,United States,CA,California,Kern,BAKERSFIELD,93309
9227,United States,CA,California,Los Angeles,BELLFLOWER,90706
9252,United States,CA,California,Los Angeles,BEVERLY HILLS,90211
9277,United States,CA,California,San Bernardino,BIG RIVER,92242
9302,United States,CA,California,Inyo,BISHOP,93514
9327,United States,CA,California,Imperial,BRAWLEY,92227
9352,United States,CA,California,Orange,BREA,92821
9377,United States,CA,California,Contra Costa,BRENTWOOD,94513
9402,United States,CA,California,Orange,BUENA PARK,90620
9427,United States,CA,California,Orange,BUENA PARK,90621
9452,United States,CA,California,Los Angeles,BURBANK,91502
9477,United States,CA,California,Los Angeles,BURBANK,91504
9502,United States,CA,California,Los Angeles,BURBANK,91505
9527,United States,CA,California,Los Angeles,BURBANK,91506
9552,United States,CA,California,San Mateo,BURLINGAME,94010
9577,United States,CA,California,Los Angeles,CALABASAS,91301
9602,United States,CA,California,Los Angeles,CALABASAS,91302
9627,United States,CA,California,Ventura,CAMARILLO,93010
9652,United States,CA,California,Ventura,CAMARILLO,93011
9677,United States,CA,California,Ventura,CAMARILLO,93012
9702,United States,CA,California,San Luis Obispo,CAMBRIA,93428
9727,United States,CA,California,Santa Clara,CAMPBELL,95008
9752,United States,CA,California,Los Angeles,CANOGA PARK,91303
9777,United States,CA,California,San Diego,CARLSBAD,92008
9802,United States,CA,California,Los Angeles,CARSON,90745
9827,United States,CA,California,Los Angeles,CARSON,90746
9852,United States,CA,California,Los Angeles,CERRITOS,90703
9877,United States,CA,California,Los Angeles,CHATSWORTH,91311
9902,United States,CA,California,Butte,CHICO,95926
9927,United States,CA,California,Butte,CHICO,95973
9952,United States,CA,California,San Bernardino,CHINO,91709
9977,United States,CA,California,San Bernardino,CHINO,91710
10002,United States,CA,California,San Bernardino,CHINO HILLS,91709
10027,United States,CA,California,San Diego,CHULA VISTA,91910
10052,United States,CA,California,Los Angeles,CITY OF INDUSTRY,91746
10077,United States,CA,California,Los Angeles,CITY OF INDUSTRY,91748
10102,United States,CA,California,Los Angeles,CLAREMONT,91711
10127,United States,CA,California,Fresno,CLOVIS,93611
10152,United States,CA,California,Fresno,CLOVIS,93612
10177,United States,CA,California,San Bernardino,COLTON,92324
10202,United States,CA,California,Contra Costa,CONCORD,94520
10227,United States,CA,California,Tehama,CORNING,96021
10252,United States,CA,California,Riverside,CORONA,92879
10277,United States,CA,California,Riverside,CORONA,92882
10302,United States,CA,California,Orange,COSTA MESA,92626
10327,United States,CA,California,Los Angeles,COVINA,91722
10352,United States,CA,California,Los Angeles,COVINA,91723
10377,United States,CA,California,Los Angeles,COVINA,91724
10402,United States,CA,California,Del Norte,CRESCENT CITY,95531
10427,United States,CA,California,San Bernardino,CRESTLINE,92325
10452,United States,CA,California,San Bernardino,CUCAMONGA,91730
10477,United States,CA,California,Los Angeles,CULVER CITY,90230
10502,United States,CA,California,Orange,CYPRESS,90630
10527,United States,CA,California,San Mateo,DALY CITY,94015
10552,United States,CA,California,Los Angeles,DIAMOND BAR,91765
10577,United States,CA,California,Los Angeles,DOWNEY,90240
10602,United States,CA,California,Los Angeles,DOWNEY,90241
10627,United States,CA,California,Los Angeles,DOWNEY,90242
10652,United States,CA,California,Los Angeles,DUARTE,91010
10677,United States,CA,California,Alameda,DUBLIN,94568
10702,United States,CA,California,San Diego,EL CAJON,92020
10727,United States,CA,California,San Diego,EL CAJON,92021
10752,United States,CA,California,Imperial,EL CENTRO,92243
10777,United States,CA,California,El Dorado,EL DORADO HILLS,95762
10802,United States,CA,California,Los Angeles,EL MONTE,91731
10827,United States,CA,California,Los Angeles,EL MONTE,91733
10852,United States,CA,California,Los Angeles,EL SEGUNDO,90245
10877,United States,CA,California,Sacramento,ELK GROVE,95624
10902,United States,CA,California,Sacramento,ELK GROVE,95758
10927,United States,CA,California,Alameda,EMERYVILLE,94608
10952,United States,CA,California,San Diego,ENCINITAS,92024
10977,United States,CA,California,Los Angeles,ENCINO,91316
11002,United States,CA,California,Los Angeles,ENCINO,91436
11027,United States,CA,California,San Diego,ESCONDIDO,92025
11052,United States,CA,California,Humboldt,EUREKA,95501
11077,United States,CA,California,Sacramento,FAIR OAKS,95628
11102,United States,CA,California,Solano,FAIRFIELD,94533
11127,United States,CA,California,Solano,FAIRFIELD,94534
11152,United States,CA,California,Sacramento,FOLSOM,95630
11177,United States,CA,California,San Bernardino,FONTANA,92335
11202,United States,CA,California,San Bernardino,FONTANA,92336
11227,United States,CA,California,Mendocino,FORT BRAGG,95437
11252,United States,CA,California,Orange,FOUNTAIN VALLEY,92708
11277,United States,CA,California,Alameda,FREMONT,94536
11302,United States,CA,California,Alameda,FREMONT,94538
11327,United States,CA,California,Alameda,FREMONT,94539
11352,United States,CA,California,Fresno,FRESNO,93710
11377,United States,CA,California,Fresno,FRESNO,93711
11402,United States,CA,California,Fresno,FRESNO,93720
11427,United States,CA,California,Fresno,FRESNO,93721
11452,United States,CA,California,Fresno,FRESNO,93726
11477,United States,CA,California,Orange,FULLERTON,92831
11502,United States,CA,California,Orange,FULLERTON,92832
11527,United States,CA,California,Orange,GARDEN GROVE,92840
11552,United States,CA,California,Orange,GARDEN GROVE,92843
11577,United States,CA,California,Los Angeles,GARDENA,90247
11602,United States,CA,California,Los Angeles,GARDENA,90248
11627,United States,CA,California,Los Angeles,GARDENA,90249
11652,United States,CA,California,Santa Clara,GILROY,95020
11677,United States,CA,California,Los Angeles,GLENDALE,91201
11702,United States,CA,California,Los Angeles,GLENDALE,91202
11727,United States,CA,California,Los Angeles,GLENDALE,91203
11752,United States,CA,California,Los Angeles,GLENDALE,91204
11777,United States,CA,California,Los Angeles,GLENDALE,91205
11802,United States,CA,California,Los Angeles,GLENDALE,91206
11827,United States,CA,California,Los Angeles,GLENDALE,91207
11852,United States,CA,California,Los Angeles,GLENDALE,91208
11877,United States,CA,California,Los Angeles,GLENDALE,91210
11902,United States,CA,California,Los Angeles,GLENDORA,91740
11927,United States,CA,California,Los Angeles,GRANADA HILLS,91344
11952,United States,CA,California,San Bernardino,GRAND TERRACE,92313
11977,United States,CA,California,Nevada,GRASS VALLEY,95945
12002,United States,CA,California,Los Angeles,HACIENDA HEIGHTS,91745
12027,United States,CA,California,Kings,HANFORD,93230
12052,United States,CA,California,Los Angeles,HARBOR CITY,90710
12077,United States,CA,California,Los Angeles,HAWTHORNE,90250
12102,United States,CA,California,Alameda,HAYWARD,94545
12127,United States,CA,California,Riverside,HEMET,92543
12152,United States,CA,California,San Benito,HOLLISTER,95023
12177,United States,CA,California,Orange,HUNTINGTON BEACH,92647
12202,United States,CA,California,Orange,HUNTINGTON BEACH,92649
12227,United States,CA,California,Los Angeles,INGLEWOOD,90301
12252,United States,CA,California,Los Angeles,INGLEWOOD,90302
12277,United States,CA,California,Los Angeles,INGLEWOOD,90303
12302,United States,CA,California,Los Angeles,INGLEWOOD,90305
12327,United States,CA,California,Orange,IRVINE,92602
12352,United States,CA,California,Orange,IRVINE,92612
12377,United States,CA,California,Orange,IRVINE,92614
12402,United States,CA,California,Orange,IRVINE,92618
12427,United States,CA,California,Los Angeles,IRWINDALE,91706
12452,United States,CA,California,Amador,JACKSON,95642
12477,United States,CA,California,San Bernardino,JOSHUA TREE,92252
12502,United States,CA,California,Los Angeles,LA CANADA,91011
12527,United States,CA,California,Los Angeles,LA CRESCENTA,91214
12552,United States,CA,California,Orange,LA HABRA,90631
12577,United States,CA,California,San Diego,LA MESA,91941
12602,United States,CA,California,San Diego,LA MESA,91942
12627,United States,CA,California,Los Angeles,LA MIRADA,90638
12652,United States,CA,California,Orange,LA PALMA,90623
12677,United States,CA,California,Los Angeles,LA PUENTE,91744
12702,United States,CA,California,Riverside,LA QUINTA,92253
12727,United States,CA,California,Los Angeles,LA VERNE,91750
12752,United States,CA,California,Orange,LAGUNA HILLS,92653
12777,United States,CA,California,Orange,LAGUNA NIGUEL,92677
12802,United States,CA,California,Lake,LAKEPORT,95453
12827,United States,CA,California,Los Angeles,LAKEWOOD,90712
12852,United States,CA,California,Los Angeles,LANCASTER,93534
12877,United States,CA,California,Los Angeles,LANCASTER,93535
