LocationNO,Country,State_Abbv,State,County,City,ZipCode
22427,United States,CT,Connecticut,Litchfield,BANTAM,6750
22452,United States,CT,Connecticut,Hartford,BERLIN,6037
22477,United States,CT,Connecticut,Fairfield,BETHEL,6801
22502,United States,CT,Connecticut,Hartford,BLOOMFIELD,6002
22527,United States,CT,Connecticut,New Haven,BRANFORD,6405
22552,United States,CT,Connecticut,Fairfield,BRIDGEPORT,6604
22577,United States,CT,Connecticut,Hartford,BRISTOL,6010
22602,United States,CT,Connecticut,Middlesex,CENTERBROOK,6409
22627,United States,CT,Connecticut,New Haven,CHESHIRE,6410
22652,United States,CT,Connecticut,Middlesex,CROMWELL,6416
22677,United States,CT,Connecticut,Fairfield,DANBURY,6810
22702,United States,CT,Connecticut,Hartford,EAST HARTFORD,6108
22727,United States,CT,Connecticut,Hartford,EAST HARTFORD,6118
22752,United States,CT,Connecticut,New Haven,EAST HAVEN,6512
22777,United States,CT,Connecticut,Hartford,ENFIELD,6083
22802,United States,CT,Connecticut,Fairfield,FAIRFIELD,6824
22827,United States,CT,Connecticut,Fairfield,FAIRFIELD,6825
22852,United States,CT,Connecticut,Hartford,FARMINGTON,6032
22877,United States,CT,Connecticut,Fairfield,GREENWICH,6831
22902,United States,CT,Connecticut,New Haven,GUILFORD,6437
22927,United States,CT,Connecticut,New Haven,HAMDEN,6514
22952,United States,CT,Connecticut,New Haven,HAMDEN,6518
22977,United States,CT,Connecticut,Hartford,HARTFORD,6106
23002,United States,CT,Connecticut,Hartford,HARTFORD,6114
23027,United States,CT,Connecticut,Tolland,HEBRON,6248
23052,United States,CT,Connecticut,New London,LEDYARD,6339
23077,United States,CT,Connecticut,New Haven,MERIDEN,6450
23102,United States,CT,Connecticut,New Haven,MIDDLEBURY,6762
23127,United States,CT,Connecticut,Middlesex,MIDDLETOWN,6457
23152,United States,CT,Connecticut,New Haven,MILFORD,6460
23177,United States,CT,Connecticut,New Haven,NAUGATUCK,6770
23202,United States,CT,Connecticut,Hartford,NEW BRITAIN,6053
23227,United States,CT,Connecticut,Fairfield,NEW CANAAN,6840
23252,United States,CT,Connecticut,New Haven,NEW HAVEN,6511
23277,United States,CT,Connecticut,New Haven,NEW HAVEN,6513
23302,United States,CT,Connecticut,New Haven,NEW HAVEN,6519
23327,United States,CT,Connecticut,Litchfield,NEW MILFORD,6776
23352,United States,CT,Connecticut,New Haven,NORTH HAVEN,6473
23377,United States,CT,Connecticut,Fairfield,NORWALK,6851
23402,United States,CT,Connecticut,Fairfield,NORWALK,6854
23427,United States,CT,Connecticut,New London,NORWICH,6360
23452,United States,CT,Connecticut,Middlesex,OLD SAYBROOK,6475
23477,United States,CT,Connecticut,New Haven,ORANGE,6477
23502,United States,CT,Connecticut,Hartford,PLANTSVILLE,6479
23527,United States,CT,Connecticut,New Haven,PROSPECT,6712
23552,United States,CT,Connecticut,Windham,PUTNAM,6260
23577,United States,CT,Connecticut,Fairfield,RIDGEFIELD,6877
23602,United States,CT,Connecticut,Hartford,ROCKY HILL,6067
23627,United States,CT,Connecticut,Litchfield,SALISBURY,6068
23652,United States,CT,Connecticut,Hartford,SIMBURY,6070
23677,United States,CT,Connecticut,Hartford,SIMSBURY,6070
23702,United States,CT,Connecticut,Fairfield,STAMFORD,6901
23727,United States,CT,Connecticut,Fairfield,STAMFORD,6902
23752,United States,CT,Connecticut,Fairfield,STRATFORD,6497
23777,United States,CT,Connecticut,Fairfield,STRATFORD,6614
23802,United States,CT,Connecticut,Fairfield,STRATFORD,6615
23827,United States,CT,Connecticut,Fairfield,TRUMBULL,6611
23852,United States,CT,Connecticut,Tolland,VERNON,6066
23877,United States,CT,Connecticut,New Haven,WALLINGFORD,6492
23902,United States,CT,Connecticut,New Haven,WATERBURY,6705
23927,United States,CT,Connecticut,New London,WATERFORD,6385
23952,United States,CT,Connecticut,Litchfield,WATERTOWN,6795
23977,United States,CT,Connecticut,Hartford,WEST HARTFORD,6110
24002,United States,CT,Connecticut,Hartford,WEST HARTFORD,6119
24027,United States,CT,Connecticut,Middlesex,WESTBROOK,6498
24052,United States,CT,Connecticut,Fairfield,WESTPORT,6881
24077,United States,CT,Connecticut,Hartford,WETHERSFIELD,6109
24102,United States,CT,Connecticut,Litchfield,WINSTED,6098
41302,United States,IL,Illinois,DuPage,ADDISON,60101
41327,United States,IL,Illinois,McHenry,ALGONQUIN,60102
41352,United States,IL,Illinois,Cook,ALSIP,60803
41377,United States,IL,Illinois,Madison,ALTON,62002
41402,United States,IL,Illinois,Cook,ARLINGTON HEIGHTS,60004
41427,United States,IL,Illinois,Cook,ARLINGTON HEIGHTS,60005
41452,United States,IL,Illinois,,AURORA,60502
41477,United States,IL,Illinois,DuPage,AURORA,60504
41502,United States,IL,Illinois,Kane,AURORA,60505
41527,United States,IL,Illinois,Kane,AURORA,60506
41552,United States,IL,Illinois,St. Clair,BELLEVILLE,62221
41577,United States,IL,Illinois,St. Clair,BELLEVILLE,62223
41602,United States,IL,Illinois,DuPage,BENSENVILLE,60106
41627,United States,IL,Illinois,Cook,BERWYN,60402
41652,United States,IL,Illinois,DuPage,BLOOMINGDALE,60108
41677,United States,IL,Illinois,McLean,BLOOMINGTON,61704
41702,United States,IL,Illinois,Cook,BLUE ISLAND,60406
41727,United States,IL,Illinois,Will,BOLINGBROOK,60440
41752,United States,IL,Illinois,Kankakee,BOURBONNAIS,60914
41777,United States,IL,Illinois,Cook,BROADVIEW,60155
41802,United States,IL,Illinois,Cook,BURNHAM,60633
41827,United States,IL,Illinois,Cook,BURR RIDGE,60527
41852,United States,IL,Illinois,Cook,CALUMET CITY,60409
41877,United States,IL,Illinois,Fulton,CANTON,61520
41902,United States,IL,Illinois,DuPage,CAROL STREAM,60188
41927,United States,IL,Illinois,Greene,CARROLLTON,62016
41952,United States,IL,Illinois,Hancock,CARTHAGE,62321
41977,United States,IL,Illinois,St. Clair,CENTREVILLE,62207
42002,United States,IL,Illinois,Champaign,CHAMPAIGN,61820
42027,United States,IL,Illinois,Champaign,CHAMPAIGN,61821
42052,United States,IL,Illinois,Champaign,CHAMPAIGN,61822
42077,United States,IL,Illinois,Cook,CHICAGO,60601
42102,United States,IL,Illinois,Cook,CHICAGO,60602
42127,United States,IL,Illinois,Cook,CHICAGO,60605
42152,United States,IL,Illinois,Cook,CHICAGO,60607
42177,United States,IL,Illinois,Cook,CHICAGO,60608
42202,United States,IL,Illinois,Cook,CHICAGO,60609
42227,United States,IL,Illinois,Cook,CHICAGO,60610
42252,United States,IL,Illinois,Cook,CHICAGO,60613
42277,United States,IL,Illinois,Cook,CHICAGO,60616
42302,United States,IL,Illinois,Cook,CHICAGO,60617
42327,United States,IL,Illinois,Cook,CHICAGO,60618
42352,United States,IL,Illinois,Cook,CHICAGO,60619
42377,United States,IL,Illinois,Cook,CHICAGO,60620
42402,United States,IL,Illinois,Cook,CHICAGO,60622
42427,United States,IL,Illinois,Cook,CHICAGO,60625
42452,United States,IL,Illinois,Cook,CHICAGO,60629
42477,United States,IL,Illinois,Cook,CHICAGO,60630
42502,United States,IL,Illinois,Cook,CHICAGO,60631
42527,United States,IL,Illinois,Cook,CHICAGO,60632
42552,United States,IL,Illinois,Cook,CHICAGO,60634
42577,United States,IL,Illinois,Cook,CHICAGO,60638
42602,United States,IL,Illinois,Cook,CHICAGO,60639
42627,United States,IL,Illinois,Cook,CHICAGO,60640
42652,United States,IL,Illinois,Cook,CHICAGO,60641
42677,United States,IL,Illinois,Cook,CHICAGO,60642
42702,United States,IL,Illinois,Cook,CHICAGO,60643
42727,United States,IL,Illinois,Cook,CHICAGO,60645
42752,United States,IL,Illinois,Cook,CHICAGO,60646
42777,United States,IL,Illinois,Cook,CHICAGO,60647
42802,United States,IL,Illinois,Cook,CHICAGO,60649
42827,United States,IL,Illinois,Cook,CHICAGO,60652
42852,United States,IL,Illinois,Cook,CHICAGO,60653
42877,United States,IL,Illinois,Cook,CHICAGO,60655
42902,United States,IL,Illinois,Cook,CHICAGO,60656
42927,United States,IL,Illinois,Cook,CHICAGO,60657
42952,United States,IL,Illinois,Cook,CHICAGO,60659
42977,United States,IL,Illinois,Cook,CHICAGO,60707
43002,United States,IL,Illinois,Cook,CHICAGO HEIGHTS,60411
43027,United States,IL,Illinois,Cook,CHICAGO RIDGE,60415
43052,United States,IL,Illinois,Cook,CICERO,60804
43077,United States,IL,Illinois,DuPage,CLARENDON HILLS,60514
43102,United States,IL,Illinois,Grundy,COAL CITY,60416
43127,United States,IL,Illinois,Cook,COUNTRYSIDE,60525
43152,United States,IL,Illinois,Will,CREST HILL,60435
43177,United States,IL,Illinois,Cook,CRESTWOOD,60445
43202,United States,IL,Illinois,McHenry,CRYSTAL LAKE,60012
43227,United States,IL,Illinois,McHenry,CRYSTAL LAKE,60014
43252,United States,IL,Illinois,DuPage,DARIEN,60561
43277,United States,IL,Illinois,Macon,DECATUR,62522
43302,United States,IL,Illinois,Macon,DECATUR,62526
43327,United States,IL,Illinois,DeKalb,DEKALB,60115
43352,United States,IL,Illinois,Cook,DES PLAINES,60016
43377,United States,IL,Illinois,Cook,DES PLAINES,60018
43402,United States,IL,Illinois,Lee,DIXON,61021
43427,United States,IL,Illinois,Cook,DOLTON,60419
43452,United States,IL,Illinois,DuPage,DOWNERS GROVE,60515
43477,United States,IL,Illinois,DuPage,DOWNERS GROVE,60516
43502,United States,IL,Illinois,Tazewell,EAST PEORIA,61611
